ID,SMILES,DATASET,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,ACID_ATOMS,AROM_ATOMS,BASIC_ATOMS,BROMINE,CHLORINE,FLUORINE,IODINE,NITROGEN,OXYGEN,FRACROTBOND,CHIRALCENTERS,HALOGEN
PIP092023,O=Cc1cc2OCOc2cc1,QuimfraganDB,3,0,1.2278,35.529999,150.133,0.125,11,2,3,1,0,1,1,0,1,0,6,0,0,0,0,0,0,3,0.083333336,0,0
MEN202023,O[C@]1[C@](C(C)C)CC[C@@](C)C1,QuimfraganDB,1,1,2.4395001,20.23,156.269,1.0,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.090909094,3,0
PER642023,O=C1CCC(C(=C)C)CC1,QuimfraganDB,1,0,2.3218,17.07,138.21001,0.66666669,10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0
3AMIN642023,O(C)c1c(N)cc2[o+]c3c(nc2c1)ccc(N(C)C)c3,QuimfraganDB,4,1,2.9189,62.68,270.31201,0.2,20,3,5,2,0,0,2,1,3,0,14,1,0,0,0,0,3,2,0.090909094,0,0
DIA642023,Oc1ccc(C(=C)C)cc1,QuimfraganDB,1,1,2.4252999,20.23,134.17799,0.11111111,10,1,1,1,0,0,1,0,1,0,6,0,0,0,0,0,0,1,0.1,0,0
ASC642023,OC(CO)c1c(O)c(O)c(O)o1,QuimfraganDB,6,5,-0.57789999,114.29,176.12399,0.33333334,12,1,6,2,0,0,0,1,1,0,5,0,0,0,0,0,0,6,0.16666667,1,0
FOR642023,O(C)c1ccc(C=2C(=O)c3c(OC=2)cc(O)cc3)cc1,QuimfraganDB,4,1,3.1742001,59.669998,268.26801,0.0625,20,3,4,2,0,0,2,1,3,0,12,0,0,0,0,0,0,4,0.090909094,0,0
BIO642023,O(C)c1ccc(C=2C(=O)c3c(O)cc(O)cc3OC=2)cc1,QuimfraganDB,5,2,2.8798001,79.900002,284.267,0.0625,21,3,5,2,0,0,2,1,3,0,12,0,0,0,0,0,0,5,0.086956523,0,0
MAL642023,O=C1C(O)=C(C)OC=C1,QuimfraganDB,3,1,0.65381998,50.439999,126.111,0.16666667,9,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0.0,0,0
LIN642023,OC(C=C)(CCC=C(C)C)C,QuimfraganDB,1,1,2.6698,20.23,154.25301,0.60000002,11,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.40000001,1,0
PHEOH642023,O[C@](C)c1ccccc1,QuimfraganDB,1,1,1.7399,20.23,122.167,0.25,9,1,1,1,0,0,1,0,1,0,6,0,0,0,0,0,0,1,0.11111111,1,0
PHEAC642023,O=C(OC(C)c1ccccc1)C,QuimfraganDB,2,0,2.3106999,26.299999,164.20399,0.30000001,12,1,2,2,0,0,1,0,1,0,6,0,0,0,0,0,0,2,0.25,1,0
ACE642023,O=C(C)c1ccccc1,QuimfraganDB,1,0,1.8892,17.07,120.151,0.125,9,1,1,1,0,0,1,0,1,0,6,0,0,0,0,0,0,1,0.11111111,0,0
HEX642023,O=C(OCC/C=C\CC)C,QuimfraganDB,2,0,1.9058,26.299999,142.198,0.625,10,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.55555558,0,0
2PHE642023,OCCc1ccccc1,QuimfraganDB,1,1,1.2214,20.23,122.167,0.25,9,1,1,2,0,0,1,0,1,0,6,0,0,0,0,0,0,1,0.22222222,0,0
OCT642023,O[C@@](C=C)CCCCC,QuimfraganDB,1,1,2.1136,20.23,128.215,0.75,9,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.625,1,0
LIM642023,C(=C)(C)[C@]1CC=C(C)CC1,QuimfraganDB,0,0,3.3089001,0.0,136.23801,0.60000002,10,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,0
ETHCIN642023,O=C(OCC)/C=C/c1ccccc1,QuimfraganDB,2,0,2.2629001,26.299999,176.215,0.18181819,13,1,2,3,0,0,1,0,1,0,6,0,0,0,0,0,0,2,0.30769232,0,0
GEN642023,O=C1C(c2ccc(O)cc2)=COc2c1c(O)cc(O)c2,QuimfraganDB,5,3,2.5768001,90.900002,270.23999,0.0,20,3,5,1,0,0,2,1,3,0,12,0,0,0,0,0,0,5,0.045454547,0,0
BEN642023,O=C(OCc1ccccc1)C,QuimfraganDB,2,0,1.7497,26.299999,150.177,0.22222222,11,1,2,2,0,0,1,0,1,0,6,0,0,0,0,0,0,2,0.27272728,0,0
CIN642023,OC/C=C/c1ccccc1,QuimfraganDB,1,1,1.6921,20.23,134.17799,0.11111111,10,1,1,2,0,0,1,0,1,0,6,0,0,0,0,0,0,1,0.2,0,0
BUT642023,O=C1OC(CCCC)c2c1cccc2,QuimfraganDB,2,0,3.0883,26.299999,190.242,0.41666666,14,2,2,3,0,1,1,0,1,0,6,0,0,0,0,0,0,2,0.2,1,0
LIN642023,OC(C)(C)[C@]1O[C@@](C=C)(C)CC1,QuimfraganDB,2,1,1.881,29.459999,170.252,0.80000001,12,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.16666667,2,0
CON642023,O=C/C=C/c1ccccc1,QuimfraganDB,1,0,1.8987,17.07,132.162,0.0,10,1,1,2,0,0,1,0,1,0,6,0,0,0,0,0,0,1,0.2,0,0
LINZ642023,OC(C)(C)[C@@]1O[C@@](C=C)(C)CC1,QuimfraganDB,2,1,1.881,29.459999,170.252,0.80000001,12,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.16666667,2,0
BEN642023,OCc1ccccc1,QuimfraganDB,1,1,1.1789,20.23,108.14,0.14285715,8,1,1,1,0,0,1,0,1,0,6,0,0,0,0,0,0,1,0.125,0,0
METCIN642023,O=C(OC)/C=C/c1ccccc1,QuimfraganDB,2,0,1.8728,26.299999,162.188,0.1,12,1,2,2,0,0,1,0,1,0,6,0,0,0,0,0,0,2,0.25,0,0
COU642023,C=C1Oc2c(cccc2)C=C1,QuimfraganDB,1,0,2.6059,9.2299995,144.173,0.0,11,2,1,0,0,1,1,0,1,0,6,0,0,0,0,0,0,1,0.0,0,0
CIN642023,O=C(OCC=Cc1ccccc1)CCCCC,QuimfraganDB,2,0,3.8232999,26.299999,232.323,0.40000001,17,1,2,7,0,0,1,0,1,0,6,0,0,0,0,0,0,2,0.47058824,0,0
LIN642023,O=C(OC(C=C)(CCC=C(C)C)C)C,QuimfraganDB,2,0,3.2406001,26.299999,196.28999,0.58333331,14,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.46153846,1,0
BET642023,C(=C/C=C/C=C(/C=C/C=C(/C=C/C=1C(C)(C)CCCC=1C)\C)\C)(\C=C\C=C(\C=C\C=1C(C)(C)CCCC=1C)/C)/C,QuimfraganDB,0,0,12.6058,0.0,536.888,0.44999999,40,2,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24390244,0,0
OCI642023,C(=C/CC=C(C)C)(\C=C)/C,QuimfraganDB,0,0,3.4749999,0.0,136.23801,0.40000001,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33333334,0,0
HEX642023,OC/C=C/CCC,QuimfraganDB,1,1,1.335,20.23,100.161,0.66666669,7,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0
ETH952023,O=C(OCC)CC(C)C,QuimfraganDB,2,0,1.5956,26.299999,130.187,0.85714287,9,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,0
ACETAZ952023,O=C(C)C=1SCCN=1,QuimfraganDB,3,0,0.72070003,29.43,129.18401,0.60000002,8,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.125,0,0
3MET952023,O=C(C(C(=O)C)C)CCCCC,QuimfraganDB,2,0,2.3608999,34.139999,170.252,0.80000001,12,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.54545456,1,0
DAM952023,O=C(C=CC)C1=C(C)C=CCC1(C)C,QuimfraganDB,1,0,3.4342,17.07,190.286,0.46153846,14,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14285715,0,0
OCT952023,O=C(C=C)CCCCC,QuimfraganDB,1,0,2.3218,17.07,126.199,0.625,9,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.625,0,0
NON952023,O=CCC=CC=CCCC,QuimfraganDB,1,0,2.4879,17.07,138.21001,0.44444445,10,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.55555558,0,0
BUT952023,O=C(O)CCC,QuimfraganDB,1,1,0.87110001,37.299999,88.106003,0.75,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.40000001,0,0
FUR952023,Oc1c(O)c(C)oc1C,QuimfraganDB,3,2,1.30764,53.599998,128.127,0.33333334,9,1,3,0,0,0,0,1,1,0,5,0,0,0,0,0,0,3,0.0,0,0
DIA952023,O=C(C(=O)C)C,QuimfraganDB,2,0,0.1644,34.139999,86.089996,0.5,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0,0
PIE952023,CC1(C)C2C(C)=CCC1C2,QuimfraganDB,0,0,2.9986999,0.0,136.23801,0.80000001,10,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0
PYR952023,O=C(C)C1=NCCC1,QuimfraganDB,2,0,0.81019998,29.43,111.144,0.66666669,8,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.125,0,0
